gene_id,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8
GENE001,197,183,161,143,108,103,94,82
GENE002,204,194,160,132,113,99,93,67
GENE003,201,178,166,129,108,114,82,76
GENE004,199,185,146,144,122,117,94,64
GENE005,206,188,166,129,106,102,85,70
GENE006,191,185,164,132,118,99,92,66
GENE007,197,189,152,148,103,113,94,72
GENE008,195,182,154,148,121,115,84,72
GENE009,200,186,154,149,104,97,81,73
GENE010,189,187,159,137,120,110,85,67
GENE011,207,186,156,147,102,100,78,74
GENE012,197,191,165,149,108,105,91,73
GENE013,208,197,163,134,113,100,84,82
GENE014,188,186,165,139,107,115,90,65
GENE015,191,182,150,140,121,99,95,72
GENE016,202,188,154,143,109,115,80,82
GENE017,198,180,166,148,112,105,88,73
GENE018,197,187,152,141,109,112,87,76
GENE019,195,177,151,146,107,117,84,74
GENE020,194,188,155,144,120,102,92,64
GENE021,199,196,156,138,113,109,92,83
GENE022,191,193,146,149,109,102,85,77
GENE023,207,190,150,144,119,117,95,78
GENE024,196,192,155,143,113,117,89,78
GENE025,191,177,153,139,112,108,98,68
GENE026,189,191,153,147,119,103,84,79
GENE027,194,195,158,145,110,106,79,66
GENE028,197,185,150,145,120,104,83,65
GENE029,196,181,159,140,122,98,94,64
GENE030,205,182,165,137,116,103,90,73
GENE031,208,197,155,137,113,116,91,73
GENE032,208,195,149,141,104,115,88,67
GENE033,206,183,150,145,120,111,93,72
GENE034,195,193,150,132,114,107,86,81
GENE035,207,186,165,148,109,116,96,67
GENE036,198,193,150,144,119,97,86,78
GENE037,203,192,153,142,105,108,80,68
GENE038,200,189,162,138,104,109,90,75
GENE039,191,184,148,143,115,109,94,73
GENE040,203,197,153,140,122,112,80,65
GENE041,192,196,155,146,114,111,79,67
GENE042,198,193,165,144,119,108,80,82
GENE043,192,180,160,129,109,105,97,77
GENE044,205,186,162,145,114,105,81,77
GENE045,201,184,155,142,122,110,88,80
GENE046,190,182,164,138,107,108,97,80
GENE047,193,178,154,149,119,109,97,72
GENE048,199,195,157,138,111,98,83,65
GENE049,205,195,164,133,116,98,78,71
GENE050,193,186,147,145,115,112,85,82
GENE051,202,188,164,149,112,115,87,77
GENE052,202,190,155,136,104,105,83,65
GENE053,198,181,164,136,116,110,86,72
GENE054,197,193,161,137,105,97,98,84
