gene_id,Cancer,Immune,Stroma
GENE001,9.8,1.2,1.0
GENE002,9.8,1.2,1.0
GENE003,9.8,1.2,1.0
GENE004,9.8,1.2,1.0
GENE005,9.8,1.2,1.0
GENE006,9.8,1.2,1.0
GENE007,9.8,1.2,1.0
GENE008,9.8,1.2,1.0
GENE009,9.8,1.2,1.0
GENE010,9.8,1.2,1.0
GENE011,9.8,1.2,1.0
GENE012,9.8,1.2,1.0
GENE013,9.8,1.2,1.0
GENE014,9.8,1.2,1.0
GENE015,9.8,1.2,1.0
GENE016,9.8,1.2,1.0
GENE017,9.8,1.2,1.0
GENE018,9.8,1.2,1.0
GENE019,9.8,1.2,1.0
GENE020,9.8,1.2,1.0
GENE021,9.8,1.2,1.0
GENE022,9.8,1.2,1.0
GENE023,9.8,1.2,1.0
GENE024,9.8,1.2,1.0
GENE025,9.8,1.2,1.0
GENE026,9.8,1.2,1.0
GENE027,9.8,1.2,1.0
GENE028,9.8,1.2,1.0
GENE029,9.8,1.2,1.0
GENE030,9.8,1.2,1.0
GENE031,9.8,1.2,1.0
GENE032,9.8,1.2,1.0
GENE033,9.8,1.2,1.0
GENE034,9.8,1.2,1.0
GENE035,9.8,1.2,1.0
GENE036,9.8,1.2,1.0
GENE037,9.8,1.2,1.0
GENE038,9.8,1.2,1.0
GENE039,9.8,1.2,1.0
GENE040,9.8,1.2,1.0
GENE041,9.8,1.2,1.0
GENE042,9.8,1.2,1.0
GENE043,9.8,1.2,1.0
GENE044,9.8,1.2,1.0
GENE045,9.8,1.2,1.0
GENE046,9.8,1.2,1.0
GENE047,9.8,1.2,1.0
GENE048,9.8,1.2,1.0
GENE049,9.8,1.2,1.0
GENE050,9.8,1.2,1.0
GENE051,9.8,1.2,1.0
GENE052,9.8,1.2,1.0
GENE053,9.8,1.2,1.0
GENE054,9.8,1.2,1.0
GENE055,9.8,1.2,1.0
GENE056,9.8,1.2,1.0
GENE057,9.8,1.2,1.0
GENE058,9.8,1.2,1.0
GENE059,9.8,1.2,1.0
GENE060,9.8,1.2,1.0
GENE061,9.8,1.2,1.0
GENE062,9.8,1.2,1.0
GENE063,9.8,1.2,1.0
GENE064,9.8,1.2,1.0
GENE065,9.8,1.2,1.0
GENE066,9.8,1.2,1.0
GENE067,9.8,1.2,1.0
GENE068,9.8,1.2,1.0
GENE069,9.8,1.2,1.0
GENE070,9.8,1.2,1.0
GENE071,9.8,1.2,1.0
GENE072,9.8,1.2,1.0
GENE073,9.8,1.2,1.0
GENE074,9.8,1.2,1.0
GENE075,9.8,1.2,1.0
GENE076,9.8,1.2,1.0
GENE077,9.8,1.2,1.0
GENE078,9.8,1.2,1.0
GENE079,9.8,1.2,1.0
GENE080,9.8,1.2,1.0
GENE081,9.8,1.2,1.0
GENE082,9.8,1.2,1.0
GENE083,9.8,1.2,1.0
GENE084,9.8,1.2,1.0
GENE085,9.8,1.2,1.0
GENE086,9.8,1.2,1.0
GENE087,9.8,1.2,1.0
GENE088,9.8,1.2,1.0
GENE089,9.8,1.2,1.0
GENE090,9.8,1.2,1.0
GENE091,9.8,1.2,1.0
GENE092,9.8,1.2,1.0
GENE093,9.8,1.2,1.0
GENE094,9.8,1.2,1.0
GENE095,9.8,1.2,1.0
GENE096,9.8,1.2,1.0
GENE097,9.8,1.2,1.0
GENE098,9.8,1.2,1.0
GENE099,9.8,1.2,1.0
GENE100,9.8,1.2,1.0
GENE101,9.8,1.2,1.0
GENE102,9.8,1.2,1.0
GENE103,9.8,1.2,1.0
GENE104,9.8,1.2,1.0
GENE105,9.8,1.2,1.0
GENE106,9.8,1.2,1.0
GENE107,9.8,1.2,1.0
GENE108,9.8,1.2,1.0
GENE109,9.8,1.2,1.0
GENE110,9.8,1.2,1.0
GENE111,9.8,1.2,1.0
GENE112,9.8,1.2,1.0
GENE113,9.8,1.2,1.0
GENE114,9.8,1.2,1.0
GENE115,9.8,1.2,1.0
GENE116,9.8,1.2,1.0
GENE117,9.8,1.2,1.0
GENE118,9.8,1.2,1.0
GENE119,9.8,1.2,1.0
GENE120,9.8,1.2,1.0
GENE121,1.1,9.6,1.3
GENE122,1.1,9.6,1.3
GENE123,1.1,9.6,1.3
GENE124,1.1,9.6,1.3
GENE125,1.1,9.6,1.3
GENE126,1.1,9.6,1.3
GENE127,1.1,9.6,1.3
GENE128,1.1,9.6,1.3
GENE129,1.1,9.6,1.3
GENE130,1.1,9.6,1.3
GENE131,1.1,9.6,1.3
GENE132,1.1,9.6,1.3
GENE133,1.1,9.6,1.3
GENE134,1.1,9.6,1.3
GENE135,1.1,9.6,1.3
GENE136,1.1,9.6,1.3
GENE137,1.1,9.6,1.3
GENE138,1.1,9.6,1.3
GENE139,1.1,9.6,1.3
GENE140,1.1,9.6,1.3
GENE141,1.1,9.6,1.3
